,tweet_id,timestamp,source,text,rating_numerator,rating_denominator,name,retweet_count,favorite_count,stage,jpg_url,img_num,breed
0,728046963732717569,2016-05-05 02:21:37+00:00,http://twitter.com/download/iphone,This is Raymond. He controls fountains with his tongue. 11/10 pretty damn magical https://t.co/9aMxSbOaAZ,11,10,Raymond,1328,4722,others,https://pbs.twimg.com/media/ChqK2cVWMAAE5Zj.jpg,1.0,Newfoundland
1,781661882474196992,2016-09-30 01:08:10+00:00,http://twitter.com/download/iphone,Who keeps sending in pictures without dogs in them? This needs to stop. 5/10 for the mediocre road https://t.co/ELqelxWMrC,5,10,None,3129,11634,others,https://pbs.twimg.com/media/CtkFS72WcAAiUrs.jpg,1.0,Pembroke
2,745057283344719872,2016-06-21 00:54:33+00:00,http://twitter.com/download/iphone,This is Oliver. He's downright gorgeous as hell. Should be on the cover of Dogue. 12/10 would introduce to mom https://t.co/BkgU3rrsXA,12,10,Oliver,2585,7945,others,https://pbs.twimg.com/media/Clb5pLJWMAE-QS1.jpg,2.0,Shetland_sheepdog
3,778039087836069888,2016-09-20 01:12:28+00:00,http://twitter.com/download/iphone,Evolution of a pupper yawn featuring Max. 12/10 groundbreaking stuff https://t.co/t8Y4x9DmVD,12,10,None,3065,9417,others,https://pbs.twimg.com/media/CswmaHmWAAAbdY9.jpg,2.0,German_shepherd
4,707315916783140866,2016-03-08 21:23:50+00:00,http://twitter.com/download/iphone,This is Finnegus. He's trapped in a snow globe. Poor pupper. 10/10 would make sure no one shook it https://t.co/BjpOa52jQ4,10,10,Finnegus,727,2698,others,https://pbs.twimg.com/media/CdDkEkHWwAAAeUJ.jpg,2.0,Bernese_mountain_dog
5,674436901579923456,2015-12-09 03:54:22+00:00,http://twitter.com/download/iphone,Meet Bailey. She plays with her food. Very childish. Doesn't even need a battle helmet smh. Still cute though. 9/10 https://t.co/CLEOjxhTEx,9,10,Bailey,426,1198,others,,,
6,720785406564900865,2016-04-15 01:26:47+00:00,http://twitter.com/download/iphone,This is Archie. He hears everything you say. Doesn't matter where you are. 12/10 https://t.co/0l4I8famYp,12,10,Archie,866,3400,others,https://pbs.twimg.com/media/CgC-gMCWcAAawUE.jpg,1.0,Chihuahua
7,785515384317313025,2016-10-10 16:20:36+00:00,http://twitter.com/download/iphone,"Today, 10/10, should be National Dog Rates Day",10,10,None,1477,6800,others,,,
8,747600769478692864,2016-06-28 01:21:27+00:00,http://twitter.com/download/iphone,This is Bookstore and Seaweed. Bookstore is tired and Seaweed is an asshole. 10/10 and 7/10 respectively https://t.co/eUGjGjjFVJ,10,10,Bookstore,619,2545,others,https://pbs.twimg.com/media/CmAC7ehXEAAqSuW.jpg,1.0,Chesapeake_bay_retriever
9,666435652385423360,2015-11-17 02:00:15+00:00,http://twitter.com/download/iphone,"""Can you behave? You're ruining my wedding day""
DOG: idgaf this flashlight tastes good as hell

10/10 https://t.co/GlFZPzqcEU",10,10,None,54,170,others,https://pbs.twimg.com/media/CT-nsTQWEAEkyDn.jpg,1.0,Chesapeake_bay_retriever
10,751538714308972544,2016-07-08 22:09:27+00:00,http://twitter.com/download/iphone,This is Max. She has one ear that's always slightly more alert than the other. 10/10 wonky af https://t.co/5eJg69G8vY,10,10,Max,1445,5547,others,https://pbs.twimg.com/media/Cm4AeG8XEAAulD2.jpg,2.0,Labrador_retriever
11,669993076832759809,2015-11-26 21:36:12+00:00,http://twitter.com/download/iphone,This is Zoey. Her dreams of becoming a hippo ballerina don't look promising. 9/10 it'll be ok puppers https://t.co/kR1fqy4NKK,9,10,Zoey,92,344,others,,,
12,703611486317502464,2016-02-27 16:03:45+00:00,http://twitter.com/download/iphone,Meet Scooter. He's experiencing the pupper equivalent of dropping ur phone in a toilet 10/10 put it in some rice pup https://t.co/JSmX1FIEaW,10,10,Scooter,1709,4229,pupper,https://pbs.twimg.com/media/CcO66OjXEAASXmH.jpg,1.0,Pembroke
13,767500508068192258,2016-08-21 23:15:55+00:00,http://twitter.com/download/iphone,This is Louie. He's making quite a h*ckin mess. Doesn't seem to care. 12/10 jubilant af https://t.co/Z2g2YWPzX2,12,10,Louie,2688,8295,others,https://pbs.twimg.com/media/Cqa1ofnXEAAG0yn.jpg,1.0,Chow
14,800018252395122689,2016-11-19 16:49:49+00:00,http://twitter.com/download/iphone,Here's a doggo doin a struggle. 11/10 much determined https://t.co/gQqRBfkX4I,11,10,None,15351,31768,others,,,
15,817777686764523521,2017-01-07 16:59:28+00:00,http://twitter.com/download/iphone,"This is Dido. She's playing the lead role in ""Pupper Stops to Catch Snow Before Resuming Shadow Box with Dried Apple."" 13/10 (IG: didodoggo) https://t.co/m7isZrOBX7",13,10,Dido,3084,11901,others,https://pbs.twimg.com/ext_tw_video_thumb/817777588030476288/pu/img/KbuLpE4krHF4VdPf.jpg,1.0,Curly-coated_retriever
